N,mayor_a_menor,menor_a_mayor,randomizada,kahan,referencia_N_sobre_N_mas_1,error_mayor_a_menor,error_menor_a_mayor,error_randomizada,error_kahan,semilla_barrido_aleatorio
890,0.9988776655443325,0.9988776655443322,0.9988776655443321,0.9988776655443322,0.9988776655443322,3.3344113986775767e-16,0.0,1.111470466225859e-16,0.0,20260912
900,0.9988901220865709,0.9988901220865705,0.9988901220865701,0.9988901220865705,0.9988901220865705,4.445826423054516e-16,0.0,3.334369817290887e-16,0.0,20260912
910,0.9989023051591662,0.9989023051591657,0.9989023051591653,0.9989023051591658,0.9989023051591658,4.44577219970777e-16,1.1114430499269424e-16,4.44577219970777e-16,0.0,20260912
920,0.9989142236699247,0.998914223669924,0.9989142236699239,0.998914223669924,0.998914223669924,6.668578732694146e-16,0.0,1.1114297887823577e-16,0.0,20260912
930,0.9989258861439319,0.9989258861439312,0.9989258861439314,0.9989258861439313,0.9989258861439313,5.557084064118391e-16,1.111416812823678e-16,1.111416812823678e-16,0.0,20260912
940,0.9989373007438902,0.9989373007438894,0.9989373007438892,0.9989373007438894,0.9989373007438895,6.668424677695355e-16,1.111404112949226e-16,3.3342123388476774e-16,1.111404112949226e-16,20260912
950,0.9989484752891702,0.9989484752891693,0.9989484752891703,0.9989484752891693,0.9989484752891693,8.891133443524412e-16,0.0,1.0002525123964963e-15,0.0,20260912
960,0.9989594172736741,0.9989594172736732,0.9989594172736734,0.9989594172736732,0.9989594172736732,8.891036055539795e-16,0.0,2.2227590138849487e-16,0.0,20260912
970,0.9989701338825961,0.9989701338825953,0.998970133882596,0.9989701338825953,0.9989701338825953,8.890940675554862e-16,0.0,7.779573091110504e-16,0.0,20260912
980,0.9989806320081558,0.9989806320081549,0.9989806320081553,0.9989806320081549,0.9989806320081549,8.890847242100234e-16,0.0,4.445423621050117e-16,0.0,20260912
990,0.9989909182643801,0.9989909182643794,0.9989909182643796,0.9989909182643794,0.9989909182643795,6.668066772142607e-16,1.1113444620237677e-16,1.1113444620237677e-16,1.1113444620237677e-16,20260912
1000,0.9990009990009997,0.9990009990009989,0.9990009990009997,0.999000999000999,0.999000999000999,6.66799948589869e-16,1.1113332476497816e-16,6.66799948589869e-16,0.0,20260912
1010,0.9990108803165191,0.9990108803165183,0.9990108803165184,0.9990108803165183,0.9990108803165183,7.77925578739825e-16,0.0,1.1113222553426072e-16,0.0,20260912
1020,0.99902056807052,0.9990205680705191,0.9990205680705191,0.9990205680705191,0.9990205680705191,8.89049182856694e-16,0.0,0.0,0.0,20260912
1030,0.9990300678952482,0.9990300678952473,0.9990300678952475,0.9990300678952473,0.9990300678952473,8.890407288454652e-16,0.0,2.222601822113663e-16,0.0,20260912
1040,0.9990393852065331,0.9990393852065321,0.9990393852065335,0.9990393852065321,0.9990393852065321,1.0001614920877973e-15,0.0,1.3335486561170631e-15,0.0,20260912
1050,0.9990485252140827,0.9990485252140818,0.9990485252140816,0.9990485252140818,0.9990485252140818,8.890243039093635e-16,0.0,2.222560759773409e-16,0.0,20260912
1060,0.9990574929311979,0.9990574929311969,0.999057492931197,0.9990574929311969,0.9990574929311969,1.0001433643533604e-15,0.0,1.1112704048370671e-16,0.0,20260912
1070,0.9990662931839415,0.9990662931839402,0.9990662931839415,0.9990662931839402,0.9990662931839402,1.2223866778606514e-15,0.0,1.2223866778606514e-15,0.0,20260912
1080,0.9990749306197976,0.9990749306197965,0.9990749306197975,0.9990749306197965,0.9990749306197965,1.1112510089072169e-15,0.0,1.0001259080164951e-15,0.0,20260912
1090,0.9990834097158581,0.999083409715857,0.999083409715857,0.999083409715857,0.999083409715857,1.1112415778587576e-15,0.0,0.0,0.0,20260912
