N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
720,0.9986130374479892,0.9986130374479891,0.9986130374479889,3.3352950031447413e-16,2.223530002096494e-16,3.4695654191032133,3.4695654191031275,8.570921750106208e-14
730,0.9986320109439129,0.9986320109439127,0.9986320109439124,4.446975512334189e-16,3.3352316342506417e-16,3.476457322613874,3.476457322613805,6.927791673660977e-14
740,0.9986504723346832,0.9986504723346831,0.9986504723346828,3.3351699780293555e-16,2.2234466520195705e-16,3.4832555196831363,3.4832555196831203,1.5987211554602254e-14
750,0.9986684420772307,0.9986684420772306,0.9986684420772304,3.3351099659739703e-16,2.223406643982647e-16,3.4899625243430217,3.4899625243431496,1.2789769243681803e-13
760,0.9986859395532198,0.9986859395532197,0.9986859395532195,3.3350515331832003e-16,2.2233676887888e-16,3.496580750790641,3.496580750790849,2.078337502098293e-13
770,0.9987029831387813,0.9987029831387811,0.9987029831387808,4.446659490836342e-16,3.334994618127256e-16,3.503112518605276,3.503112518605371,9.50350909079134e-14
780,0.9987195902688863,0.9987195902688862,0.998719590268886,3.33493916243172e-16,2.22329277495448e-16,3.5095600576290624,3.5095600576290957,3.3306690738754696e-14
790,0.9987357774968397,0.9987357774968396,0.9987357774968394,3.3348851106778437e-16,2.223256740451896e-16,3.5159255125369824,3.515925512537046,6.350475700855895e-14
800,0.9987515605493137,0.9987515605493136,0.9987515605493134,3.334832410217814e-16,2.223221606811876e-16,3.522210947119582,3.522210947119583,8.881784197001252e-16
810,0.9987669543773122,0.9987669543773121,0.998766954377312,2.2231873406691403e-16,1.1115936703345702e-16,3.528418348299838,3.5284183482998737,3.552713678800501e-14
820,0.9987819732034109,0.9987819732034108,0.9987819732034104,4.446307820571968e-16,3.3347308654289765e-16,3.5345496299037173,3.534549629903858,1.4077627952246985e-13
830,0.998796630565584,0.9987966305655839,0.9987966305655837,3.3346819281813434e-16,2.223121285454229e-16,3.5406066362023387,3.5406066362023916,5.284661597215745e-14
840,0.9988109393579075,0.9988109393579074,0.9988109393579072,3.3346341561062737e-16,2.2230894374041825e-16,3.5465911452421452,3.5465911452422683,1.2301271112846734e-13
850,0.9988249118683903,0.9988249118683902,0.9988249118683902,1.1115291693600097e-16,0.0,3.5525048719781274,3.5525048719784076,2.802202914153895e-13
